text,preprocess_texts,preprocess_texts_no_symboll,tokens
@littlemoonll خبب سعی کن کمتر کنی ارتباطتو باهاش,خبب سعی کن کمتر کنی ارتباطتو باهاش,خبب سعی کن کمتر کنی ارتباطتو باهاش,"['خبب', 'سعی', 'کن', 'کمتر', 'کنی', 'ارتباطتو', 'باهاش']"
"@Masoodsafa313 برنامه آقای جلیلی عالی هست ، ولی آقای رئیسی رای خیلی بیشتری دارن 

ترکیب این دو نفر خیلی خوب میشه… https://t.co/ExpbvtrX1D",برنامه آقای جلیلی عالی هست  ولی آقای رئیسی رای خیلی بیشتری دارن ترکیب این دو نفر خیلی خوب میشه,برنامه آقای جلیلی عالی هست  ولی آقای رئیسی رای خیلی بیشتری دارن ترکیب این دو نفر خیلی خوب میشه,"['برنامه', 'آقای', 'جلیلی', 'عالی', 'هست', 'ولی', 'آقای', 'رئیسی', 'رای', 'خیلی', 'بیشتری', 'دارن', 'ترکیب', 'این', 'دو', 'نفر', 'خیلی', 'خوب', 'میشه']"
@KianaMsqt @SamyAsady یه غلطی دارن می‌کنن، یه سری رنج آیپی رو یادشون می ره ببندن:))),یه غلطی دارن می‌کنن یه سری رنج آیپی رو یادشون می ره ببندن,یه غلطی دارن میکنن یه سری رنج آیپی رو یادشون می ره ببندن,"['یه', 'غلطی', 'دارن', 'میکنن', 'یه', 'سری', 'رنج', 'آیپی', 'رو', 'یادشون', 'می', 'ره', 'ببندن']"
"@elmrshfth بذار اول ماه پس. 
پایه‌ام.",بذار اول ماه پس پایه‌ام,بذار اول ماه پس پایهام,"['بذار', 'اول', 'ماه', 'پس', 'پایهام']"
جاج کردن رو نمی پسندم ولی کیرم تو این مدلی طرفداری کردنتون https://t.co/HSrnhscxpJ,جاج کردن رو نمی پسندم ولی کیرم تو این مدلی طرفداری کردنتون,جاج کردن رو نمی پسندم ولی کیرم تو این مدلی طرفداری کردنتون,"['جاج', 'کردن', 'رو', 'نمی', 'پسندم', 'ولی', 'کیرم', 'تو', 'این', 'مدلی', 'طرفداری', 'کردنتون']"
لطفا اینو به گاوهایی که از سال 57 تا حالا ملت رو بدبخت کردند و هنوز هم ادامه میدن، بفهمونید. سپاس. https://t.co/0u72WmrCws,لطفا اینو به گاوهایی که از سال 57 تا حالا ملت رو بدبخت کردند و هنوز هم ادامه میدن بفهمونید سپاس,لطفا اینو به گاوهایی که از سال 57 تا حالا ملت رو بدبخت کردند و هنوز هم ادامه میدن بفهمونید سپاس,"['لطفا', 'اینو', 'به', 'گاوهایی', 'که', 'از', 'سال', '57', 'تا', 'حالا', 'ملت', 'رو', 'بدبخت', 'کردند', 'و', 'هنوز', 'هم', 'ادامه', 'میدن', 'بفهمونید', 'سپاس']"
@yakhdoonsabz چی؟,چی,چی,['چی']
@SAEED_AM7 کارگردانم خوبه,کارگردانم خوبه,کارگردانم خوبه,"['کارگردانم', 'خوبه']"
RT @PMOIRAN: 🔴اهرم فشار #آمریکا به روی رژیم #ایران در مذاکرات #وین نادیده گرفته شده است https://t.co/foFL3xrHnX,اهرم فشار  آمریکا به روی رژیم  ایران در مذاکرات  وین نادیده گرفته شده است,اهرم فشار  آمریکا به روی رژیم  ایران در مذاکرات  وین نادیده گرفته شده است,"['اهرم', 'فشار', 'آمریکا', 'به', 'روی', 'رژیم', 'ایران', 'در', 'مذاکرات', 'وین', 'نادیده', 'گرفته_شده_است']"
"RT @aosaosaosaos7: من دلم یه #زندگی_نرمال میخواد 😭
#نه_به_جمهورى_اسلامى 
#فساد_در_واکسیناسیون",من دلم یه  زندگی نرمال میخواد  نه به جمهورى اسلامى  فساد در واکسیناسیون,من دلم یه  زندگی نرمال میخواد  نه به جمهورى اسلامى  فساد در واکسیناسیون,"['من', 'دلم', 'یه', 'زندگی', 'نرمال', 'میخواد', 'نه', 'به', 'جمهورى', 'اسلامى', 'فساد', 'در', 'واکسیناسیون']"
من مافیا هم بازی کنم وسطش گریه‌م میگیره.,من مافیا هم بازی کنم وسطش گریه‌م میگیره,من مافیا هم بازی کنم وسطش گریهم میگیره,"['من', 'مافیا', 'هم', 'بازی', 'کنم', 'وسطش', 'گریهم', 'میگیره']"
@Saraeraa برای شروع چطور بود؟,برای شروع چطور بود,برای شروع چطور بود,"['برای', 'شروع', 'چطور', 'بود']"
RT @FarsNews_Agency: ملاک الطنانی،دختر ۳ساله اهل غزه، بامداد امروز درحالی که در آغوش مادرش خوابیده بود،همراه با تمام اعضای خانواده‌اش در بم…,ملاک الطنانیدختر ۳ساله اهل غزه بامداد امروز درحالی که در آغوش مادرش خوابیده بودهمراه با تمام اعضای خانواده‌اش در بم,ملاک الطنانیدختر ۳ساله اهل غزه بامداد امروز درحالی که در آغوش مادرش خوابیده بودهمراه با تمام اعضای خانوادهاش در بم,"['ملاک', 'الطنانیدختر', '۳', 'ساله', 'اهل', 'غزه', 'بامداد', 'امروز', 'درحالی', 'که', 'در', 'آغوش', 'مادرش', 'خوابیده', 'بودهمراه', 'با', 'تمام', 'اعضای', 'خانوادهاش', 'در', 'بم']"
از صبح تا الان 280 تا توییت زدم و فالو کردم یکم کامت بزارین این زیر. منم یکم فعالیت نکنم اکانتم به فنا نره... بوس ب… https://t.co/ApYN2tvMkC,از صبح تا الان 280 تا توییت زدم و فالو کردم یکم کامت بزارین این زیر منم یکم فعالیت نکنم اکانتم به فنا نره بوس ب,از صبح تا الان 280 تا توییت زدم و فالو کردم یکم کامت بزارین این زیر منم یکم فعالیت نکنم اکانتم به فنا نره بوس ب,"['از', 'صبح', 'تا', 'الان', '280', 'تا', 'توییت', 'زدم', 'و', 'فالو', 'کردم', 'یکم', 'کامت', 'بزارین', 'این', 'زیر', 'منم', 'یکم', 'فعالیت', 'نکنم', 'اکانتم', 'به', 'فنا', 'نره', 'بوس', 'ب']"
"RT @dr_abdolmaleki: آمده ام تا با کمک همه مردم ایران، و در طلیعه گام دوم،""دولتی مردمی برای ایرانی قوی"" تشکیل دهم:

دولتی که تأمین اشتغال پا…",آمده ام تا با کمک همه مردم ایران و در طلیعه گام دومدولتی مردمی برای ایرانی قوی تشکیل دهمدولتی که تأمین اشتغال پا,آمده ام تا با کمک همه مردم ایران و در طلیعه گام دومدولتی مردمی برای ایرانی قوی تشکیل دهمدولتی که تأمین اشتغال پا,"['آمده_ام', 'تا', 'با', 'کمک', 'همه', 'مردم', 'ایران', 'و', 'در', 'طلیعه', 'گام', 'دومدولتی', 'مردمی', 'برای', 'ایرانی', 'قوی', 'تشکیل', 'دهمدولتی', 'که', 'تأمین', 'اشتغال', 'پا']"
@Hadi_bazmi همین که .... همچین عکس کمدی رو عمیقا نریدن بهش که کاسه کوزه اش رو جمع کنه طرف... رو اعصابمه!,همین که  همچین عکس کمدی رو عمیقا نریدن بهش که کاسه کوزه اش رو جمع کنه طرف رو اعصابمه,همین که  همچین عکس کمدی رو عمیقا نریدن بهش که کاسه کوزه اش رو جمع کنه طرف رو اعصابمه,"['همین', 'که', 'همچین', 'عکس', 'کمدی', 'رو', 'عمیقا', 'نریدن', 'بهش', 'که', 'کاسه', 'کوزه', 'اش', 'رو', 'جمع', 'کنه', 'طرف', 'رو', 'اعصابمه']"
"RT @hadise_ghaffari: انتخاب اصلح خود را پیدا کردم 
#رئیسی_متشکریم",انتخاب اصلح خود را پیدا کردم  رئیسی متشکریم,انتخاب اصلح خود را پیدا کردم  رئیسی متشکریم,"['انتخاب', 'اصلح', 'خود', 'را', 'پیدا', 'کردم', 'رئیسی', 'متشکریم']"
"RT @YasminArshad6: السلام علیکم💕 
صبح بخیر زندگی ❤ https://t.co/EJN92aLWU5",السلام علیکم صبح بخیر زندگی ❤,السلام علیکم صبح بخیر زندگی ,"['السلام', 'علیکم', 'صبح', 'بخیر', 'زندگی']"
قرار بود دیشب مهمون لنگی برامون بیاد، خانمش بعد بازی بهم پیام داد ما نمیایم راحت باش😂 رفاقت میکنین با این مدل لنگیا رفاقت کنین,قرار بود دیشب مهمون لنگی برامون بیاد خانمش بعد بازی بهم پیام داد ما نمیایم راحت باش رفاقت میکنین با این مدل لنگیا رفاقت کنین,قرار بود دیشب مهمون لنگی برامون بیاد خانمش بعد بازی بهم پیام داد ما نمیایم راحت باش رفاقت میکنین با این مدل لنگیا رفاقت کنین,"['قرار', 'بود', 'دیشب', 'مهمون', 'لنگی', 'برامون', 'بیاد', 'خانمش', 'بعد', 'بازی', 'بهم', 'پیام', 'داد', 'ما', 'نمیایم', 'راحت', 'باش', 'رفاقت', 'میکنین', 'با', 'این', 'مدل', 'لنگیا', 'رفاقت', 'کنین']"
"@Gashmpa1 بابا
ی شبکه هم هس توش موزیک ویدیو کره ای پخش میکنن",بابای شبکه هم هس توش موزیک ویدیو کره ای پخش میکنن,بابای شبکه هم هس توش موزیک ویدیو کره ای پخش میکنن,"['بابای', 'شبکه', 'هم', 'هس', 'توش', 'موزیک', 'ویدیو', 'کره', 'ای', 'پخش', 'میکنن']"
@ronakam_ آنشب دل من هوس رطف کرده,آنشب دل من هوس رطف کرده,آنشب دل من هوس رطف کرده,"['آنشب', 'دل', 'من', 'هوس', 'رطف', 'کرده']"
"RT @nabashimmishe: تنهایی عجیب حس اطمینان میده.
#تجربه",تنهایی عجیب حس اطمینان میده تجربه,تنهایی عجیب حس اطمینان میده تجربه,"['تنهایی', 'عجیب', 'حس', 'اطمینان', 'میده', 'تجربه']"
"@IsraelPersian مهم اینه که واس همون راکت ها هم آبکش تون کار نکرد
فعلا برید با #گنبد_آهنین برنج خیس کنین 
واس مراسم مرده خوری تون",مهم اینه که واس همون راکت ها هم آبکش تون کار نکردفعلا برید با  گنبد آهنین برنج خیس کنین واس مراسم مرده خوری تون,مهم اینه که واس همون راکت ها هم آبکش تون کار نکردفعلا برید با  گنبد آهنین برنج خیس کنین واس مراسم مرده خوری تون,"['مهم', 'اینه', 'که', 'واس', 'همون', 'راکت', 'ها', 'هم', 'آبکش', 'تون', 'کار', 'نکردفعلا', 'برید', 'با', 'گنبد', 'آهنین', 'برنج', 'خیس', 'کنین', 'واس', 'مراسم', 'مرده', 'خوری', 'تون']"
RT @mestertired: اقا محسن رضایی هم وارد وزارت کشور شد🤣🤣🤣🤣🤣🤣🤣🤣🤣,اقا محسن رضایی هم وارد وزارت کشور شد,اقا محسن رضایی هم وارد وزارت کشور شد,"['اقا', 'محسن', 'رضایی', 'هم', 'وارد', 'وزارت', 'کشور', 'شد']"
RT @Dr_SaeMoh: به کسانی که هویت خودشان را مدیون #پادگان و #دادگاه هستند به صراحت می گویم به حول و قوه الهی ، امروز  آغازی بر پایان #اشرافیت…,به کسانی که هویت خودشان را مدیون  پادگان و  دادگاه هستند به صراحت می گویم به حول و قوه الهی  امروز آغازی بر پایان  اشرافیت,به کسانی که هویت خودشان را مدیون  پادگان و  دادگاه هستند به صراحت می گویم به حول و قوه الهی  امروز آغازی بر پایان  اشرافیت,"['به', 'کسانی', 'که', 'هویت', 'خودشان', 'را', 'مدیون', 'پادگان', 'و', 'دادگاه', 'هستند', 'به', 'صراحت', 'می', 'گویم', 'به', 'حول', 'و', 'قوه', 'الهی', 'امروز', 'آغازی', 'بر', 'پایان', 'اشرافیت']"
ویدیوی معرفی تیلور سوییفت به‌عنوان برنده جایزه آیکان که در اون هنرمندانی مثل سلینا گومز، اد شیران، زویی کراویتز، گر… https://t.co/0xmsUosSvQ,ویدیوی معرفی تیلور سوییفت به‌عنوان برنده جایزه آیکان که در اون هنرمندانی مثل سلینا گومز اد شیران زویی کراویتز گر,ویدیوی معرفی تیلور سوییفت بهعنوان برنده جایزه آیکان که در اون هنرمندانی مثل سلینا گومز اد شیران زویی کراویتز گر,"['ویدیوی', 'معرفی', 'تیلور', 'سوییفت', 'بهعنوان', 'برنده', 'جایزه', 'آیکان', 'که', 'در', 'اون', 'هنرمندانی', 'مثل', 'سلینا', 'گومز', 'اد', 'شیران', 'زویی', 'کراویتز', 'گر']"
"RT @Sarina11147455: میخام بدونم تو چند دقیقه اینو میشکونید🧐
🔒30 ریپ
🔒40 ریت
I vote #Dynamite for #BestMusicVideo at the 2021 #iHeartAwards…",میخام بدونم تو چند دقیقه اینو میشکونید30 ریپ40 ریتi voe  dynamie fo  besmusicvideo a he 2021  iheaawads,میخام بدونم تو چند دقیقه اینو میشکونید30 ریپ40 ریتi voe  dynamie fo  besmusicvideo a he 2021  iheaawads,"['میخام', 'بدونم', 'تو', 'چند', 'دقیقه', 'اینو', 'میشکونید', '30', 'ریپ', '40', 'ریتi', 'voe', 'dynamie', 'fo', 'besmusicvideo', 'a', 'he', '2021', 'iheaawads']"
RT @sabeti_twt: جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت…,جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت,جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت,"['جهانگیری', 'قبلا', 'گفته_بود', 'سال', '90', 'به', 'رهبری', 'نامه', 'نوشتم', 'که', 'الان', 'وقتش', 'هست', 'مسئولین', 'اقتصادی', 'دولت', 'احمدی', 'نژاد', 'به', 'خاطر', 'سه', 'برابر', 'شدن', 'قیمت']"
"RT @Mimalamjz: تنها فرق بین رئیسی و تاج‌زاده نوع ابزاریه که استفاده میکنن، اولی با چاقو سر می‌بره دومی با پنبه. 
تنها یه گوسفند به انتخاب ب…",تنها فرق بین رئیسی و تاج‌زاده نوع ابزاریه که استفاده میکنن اولی با چاقو سر می‌بره دومی با پنبه تنها یه گوسفند به انتخاب ب,تنها فرق بین رئیسی و تاجزاده نوع ابزاریه که استفاده میکنن اولی با چاقو سر میبره دومی با پنبه تنها یه گوسفند به انتخاب ب,"['تنها', 'فرق', 'بین', 'رئیسی', 'و', 'تاجزاده', 'نوع', 'ابزاریه', 'که', 'استفاده', 'میکنن', 'اولی', 'با', 'چاقو', 'سر', 'میبره', 'دومی', 'با', 'پنبه', 'تنها', 'یه', 'گوسفند', 'به', 'انتخاب', 'ب']"
RT @MiladGoodarzi_: یه تفکری هست که میگه برای اداره یه جامعه ۸۰میلیونی، خیلی نیاز نیست همه اونا رو درگیر کنی. با چندتا از برادرا و لابی با…,یه تفکری هست که میگه برای اداره یه جامعه ۸۰میلیونی خیلی نیاز نیست همه اونا رو درگیر کنی با چندتا از برادرا و لابی با,یه تفکری هست که میگه برای اداره یه جامعه ۸۰میلیونی خیلی نیاز نیست همه اونا رو درگیر کنی با چندتا از برادرا و لابی با,"['یه', 'تفکری', 'هست', 'که', 'میگه', 'برای', 'اداره', 'یه', 'جامعه', '۸۰', 'میلیونی', 'خیلی', 'نیاز', 'نیست', 'همه', 'اونا', 'رو', 'درگیر', 'کنی', 'با', 'چندتا', 'از', 'برادرا', 'و', 'لابی', 'با']"
"@skygirl_x همون دیگه...!
اونجوری که سر آدم درد میگیره...!",همون دیگهاونجوری که سر آدم درد میگیره,همون دیگهاونجوری که سر آدم درد میگیره,"['همون', 'دیگهاونجوری', 'که', 'سر', 'آدم', 'درد', 'میگیره']"
@mansoor_zaigham درست,درست,درست,['درست']
RT @Army17592910: اگه تا کامبک مردم بدونین بخاطر همین فوتو تیزرااااااااست قصد جونمونننننننن و کردننننننن مطمئنم آخر سر این عکساشون میمیرم 🙂…,اگه تا کامبک مردم بدونین بخاطر همین فوتو تیزرااااااااست قصد جونمونننننننن و کردننننننن مطمئنم آخر سر این عکساشون میمیرم,اگه تا کامبک مردم بدونین بخاطر همین فوتو تیزرااااااااست قصد جونمونننننننن و کردننننننن مطمئنم آخر سر این عکساشون میمیرم,"['اگه', 'تا', 'کامبک', 'مردم', 'بدونین', 'بخاطر', 'همین', 'فوتو', 'تیزرااااااااست', 'قصد', 'جونمونننننننن', 'و', 'کردننننننن', 'مطمئنم', 'آخر', 'سر', 'این', 'عکساشون', 'میمیرم']"
"RT @Reza17707661: رقیب ناکارآمدی و فساد آمد
#رئیسی_متشکریم",رقیب ناکارآمدی و فساد آمد رئیسی متشکریم,رقیب ناکارآمدی و فساد آمد رئیسی متشکریم,"['رقیب', 'ناکارآمدی', 'و', 'فساد', 'آمد', 'رئیسی', 'متشکریم']"
"RT @A_raefipur: #رشتو
سوال: چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اند؟
پاسخ: انگیزه ها متفاوت است
۱- برای یک…",رشتوسوال چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اندپاسخ انگیزه ها متفاوت است۱ برای یک,رشتوسوال چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اندپاسخ انگیزه ها متفاوت است۱ برای یک,"['رشتوسوال', 'چرا', 'این', 'دوره', 'بسیاری', 'از', 'رجال', 'و', 'سیاستمداران', 'کاندیدای', 'ریاست', 'جمهوری', 'شده', 'اندپاسخ', 'انگیزه', 'ها', 'متفاوت', 'است', '۱', 'برای', 'یک']"
@Evvvvett این عقده نکشتش خونش بیفته گردنمون 😂,این عقده نکشتش خونش بیفته گردنمون,این عقده نکشتش خونش بیفته گردنمون,"['این', 'عقده', 'نکشتش', 'خونش', 'بیفته', 'گردنمون']"
@Elinaz_73d و علیکم السلام😄,و علیکم السلام,و علیکم السلام,"['و', 'علیکم', 'السلام']"
@aliasghar_1378 دیگه رحم ندارم 😁,دیگه رحم ندارم,دیگه رحم ندارم,"['دیگه', 'رحم', 'ندارم']"
@anar_khanoom @moolook93 وای بعد یه ارایشگاه همه قابلمه به سر! شبم با اون موها میخوابیدن پاتختی نرن ارایشگاه,وای بعد یه ارایشگاه همه قابلمه به سر شبم با اون موها میخوابیدن پاتختی نرن ارایشگاه,وای بعد یه ارایشگاه همه قابلمه به سر شبم با اون موها میخوابیدن پاتختی نرن ارایشگاه,"['وای', 'بعد', 'یه', 'ارایشگاه', 'همه', 'قابلمه', 'به', 'سر', 'شبم', 'با', 'اون', 'موها', 'میخوابیدن', 'پاتختی', 'نرن', 'ارایشگاه']"
"نه رهبری رئیسی نه کودتای سردارا
نه رفراندوم مخفیا برید گمشید سگ پدرا",نه رهبری رئیسی نه کودتای سردارانه رفراندوم مخفیا برید گمشید سگ پدرا,نه رهبری رئیسی نه کودتای سردارانه رفراندوم مخفیا برید گمشید سگ پدرا,"['نه', 'رهبری', 'رئیسی', 'نه', 'کودتای', 'سردارانه', 'رفراندوم', 'مخفیا', 'برید', 'گمشید', 'سگ', 'پدرا']"
"RT @1_hamele: جین ناراحت نمیشه ببینه ترند نشده؟
نمیدونم
یجوریه
عذاب وجدان دارم ترند نمیشه

WE LOVE YOU JIN
YOU ARE PERFECT JIN",جین ناراحت نمیشه ببینه ترند نشدهنمیدونمیجوریهعذاب وجدان دارم ترند نمیشهwe love you jinyou ae pefec jin,جین ناراحت نمیشه ببینه ترند نشدهنمیدونمیجوریهعذاب وجدان دارم ترند نمیشهwe love you jinyou ae pefec jin,"['جین', 'ناراحت', 'نمیشه', 'ببینه', 'ترند', 'نشدهنمیدونمیجوریهعذاب', 'وجدان', 'دارم', 'ترند', 'نمیشهwe', 'love', 'you', 'jinyou', 'ae', 'pefec', 'jin']"
"@setayesh_prsfn سر کلاسم
لسنینگ گذاشته داره کلمه به کلمه شو میپرسهههههه
خیر سرم گفتم سر کلاس حداقل ۱۰ تا از تستارو میزنم💔",سر کلاسملسنینگ گذاشته داره کلمه به کلمه شو میپرسههههههخیر سرم گفتم سر کلاس حداقل ۱۰ تا از تستارو میزنم,سر کلاسملسنینگ گذاشته داره کلمه به کلمه شو میپرسههههههخیر سرم گفتم سر کلاس حداقل ۱۰ تا از تستارو میزنم,"['سر', 'کلاسملسنینگ', 'گذاشته', 'داره', 'کلمه', 'به', 'کلمه', 'شو', 'میپرسههههههخیر', 'سرم', 'گفتم', 'سر', 'کلاس', 'حداقل', '۱۰', 'تا', 'از', 'تستارو', 'میزنم']"
RT @ayyaaaar: آقای رئیسی برای دیوار کشی مقابل مفسدینِ پاستور، وارد عرصه شد. خدا رو شکر,آقای رئیسی برای دیوار کشی مقابل مفسدینِ پاستور وارد عرصه شد خدا رو شکر,آقای رئیسی برای دیوار کشی مقابل مفسدینِ پاستور وارد عرصه شد خدا رو شکر,"['آقای', 'رئیسی', 'برای', 'دیوار', 'کشی', 'مقابل', 'مفسدینِ', 'پاستور', 'وارد', 'عرصه', 'شد', 'خدا', 'رو', 'شکر']"
@Uncle_Cactus تو همیجوری جوجو هستی دختلا میخولنت🥺,تو همیجوری جوجو هستی دختلا میخولنت,تو همیجوری جوجو هستی دختلا میخولنت,"['تو', 'همیجوری', 'جوجو', 'هستی', 'دختلا', 'میخولنت']"
@names_pink ینی اگه حقوقت ۲۰ تومن باشه، و ماهانه ۵ تومن پس‌انداز کنی، بعد ۱۶ سال میتونی یافتاباد یه خونه ۶۰ متری بدون پارکینگ طبقه ۴ام بخری,ینی اگه حقوقت ۲۰ تومن باشه و ماهانه ۵ تومن پس‌انداز کنی بعد ۱۶ سال میتونی یافتاباد یه خونه ۶۰ متری بدون پارکینگ طبقه ۴ام بخری,ینی اگه حقوقت ۲۰ تومن باشه و ماهانه ۵ تومن پسانداز کنی بعد ۱۶ سال میتونی یافتاباد یه خونه ۶۰ متری بدون پارکینگ طبقه ۴ام بخری,"['ینی', 'اگه', 'حقوقت', '۲۰', 'تومن', 'باشه', 'و', 'ماهانه', '۵', 'تومن', 'پسانداز', 'کنی', 'بعد', '۱۶', 'سال', 'میتونی', 'یافتاباد', 'یه', 'خونه', '۶۰', 'متری', 'بدون', 'پارکینگ', 'طبقه', '۴', 'ام', 'بخری']"
"@unpopideolog شازده  فرنگ نشسته در چهل سال گذشته توانایی اداره کردن یک بقالی را نداشته چه برسد به مدیریت یک کشور
کش… https://t.co/cUeDqCbmEh",شازده فرنگ نشسته در چهل سال گذشته توانایی اداره کردن یک بقالی را نداشته چه برسد به مدیریت یک کشورکش,شازده فرنگ نشسته در چهل سال گذشته توانایی اداره کردن یک بقالی را نداشته چه برسد به مدیریت یک کشورکش,"['شازده', 'فرنگ', 'نشسته', 'در', 'چهل', 'سال', 'گذشته', 'توانایی', 'اداره', 'کردن', 'یک', 'بقالی', 'را', 'نداشته', 'چه', 'برسد', 'به', 'مدیریت', 'یک', 'کشورکش']"
"RT @lili_1378: راه حل بی عملی و فقدان اراده در رفع مشکلات جایگزینی این رویه با طرح و برنامه برآمده از دولت اقدام است.
#اقدام_و_تحول
#آقامحس…",راه حل بی عملی و فقدان اراده در رفع مشکلات جایگزینی این رویه با طرح و برنامه برآمده از دولت اقدام است اقدام و تحول آقامحس,راه حل بی عملی و فقدان اراده در رفع مشکلات جایگزینی این رویه با طرح و برنامه برآمده از دولت اقدام است اقدام و تحول آقامحس,"['راه', 'حل', 'بی', 'عملی', 'و', 'فقدان', 'اراده', 'در', 'رفع', 'مشکلات', 'جایگزینی', 'این', 'رویه', 'با', 'طرح', 'و', 'برنامه', 'برآمده', 'از', 'دولت', 'اقدام', 'است', 'اقدام', 'و', 'تحول', 'آقامحس']"
RT @seyyed_ahmed: علیرضا زاکانی: تمام نمادهای فساد، اشرافیت سیاسی و ناکارامدی به هم به میدان آمده اند و سودای دولت سوم روحانی را دارند http…,علیرضا زاکانی تمام نمادهای فساد اشرافیت سیاسی و ناکارامدی به هم به میدان آمده اند و سودای دولت سوم روحانی را دارند,علیرضا زاکانی تمام نمادهای فساد اشرافیت سیاسی و ناکارامدی به هم به میدان آمده اند و سودای دولت سوم روحانی را دارند,"['علیرضا', 'زاکانی', 'تمام', 'نمادهای', 'فساد', 'اشرافیت', 'سیاسی', 'و', 'ناکارامدی', 'به', 'هم', 'به', 'میدان', 'آمده_اند', 'و', 'سودای', 'دولت', 'سوم', 'روحانی', 'را', 'دارند']"
"RT @lmotaharehl: 😐😐🥺😐😐
لبیک گوییا شما تازه میخواهید وارد مسائل کشور شوید
چقدرررررر نیازتان داشتیم بیایید همه در انتظارتان بودیم
سایه تان مس…",لبیک گوییا شما تازه میخواهید وارد مسائل کشور شویدچقدرررررر نیازتان داشتیم بیایید همه در انتظارتان بودیمسایه تان مس,لبیک گوییا شما تازه میخواهید وارد مسائل کشور شویدچقدرررررر نیازتان داشتیم بیایید همه در انتظارتان بودیمسایه تان مس,"['لبیک', 'گوییا', 'شما', 'تازه', 'میخواهید', 'وارد', 'مسائل', 'کشور', 'شویدچقدرررررر', 'نیازتان', 'داشتیم', 'بیایید', 'همه', 'در', 'انتظارتان', 'بودیمسایه', 'تان', 'مس']"
"RT @M_fr_7744: عَن النَّبیّ صلّی‌الله‌علیه‌وآله 
 هر کسی بیشتر خدمت کند، این شخص اولای به سیادت است؛ بنابراین برای اینکه بفهمیم سید قوم کیس…",عَن النَّبیّ صلّی‌الله‌علیه‌وآله  هر کسی بیشتر خدمت کند این شخص اولای به سیادت است؛ بنابراین برای اینکه بفهمیم سید قوم کیس,عَن النَّبیّ صلّیاللهعلیهوآله  هر کسی بیشتر خدمت کند این شخص اولای به سیادت است؛ بنابراین برای اینکه بفهمیم سید قوم کیس,"['عَن', 'النَّبیّ', 'صلّیاللهعلیهوآله', 'هر', 'کسی', 'بیشتر', 'خدمت', 'کند', 'این', 'شخص', 'اولای', 'به', 'سیادت', 'است', '؛', 'بنابراین', 'برای', 'اینکه', 'بفهمیم', 'سید', 'قوم', 'کیس']"
RT @NavadeEghtesadi: امروز وقتی اسحاق جهانگیری برای ثبت نام انتخابات ریاست جمهوری ۱۴۰۰ به وزارت کشور رفت و آنجا کمی ناله کرد، یاد این فیلم…,امروز وقتی اسحاق جهانگیری برای ثبت نام انتخابات ریاست جمهوری ۱۴۰۰ به وزارت کشور رفت و آنجا کمی ناله کرد یاد این فیلم,امروز وقتی اسحاق جهانگیری برای ثبت نام انتخابات ریاست جمهوری ۱۴۰۰ به وزارت کشور رفت و آنجا کمی ناله کرد یاد این فیلم,"['امروز', 'وقتی', 'اسحاق', 'جهانگیری', 'برای', 'ثبت', 'نام', 'انتخابات', 'ریاست', 'جمهوری', '۱۴۰۰', 'به', 'وزارت', 'کشور', 'رفت', 'و', 'آنجا', 'کمی', 'ناله', 'کرد', 'یاد', 'این', 'فیلم']"
"RT @HakimiNena: حالا که جهانگیری,تاجزاده,آخوندی و....ثبت نام کردن باید بگیم مردم راهی جز انتخاب رئیسی یا سعید محمد ندارن..کل لیست اصلاحاتیه…",حالا که جهانگیریتاجزادهآخوندی وثبت نام کردن باید بگیم مردم راهی جز انتخاب رئیسی یا سعید محمد ندارنکل لیست اصلاحاتیه,حالا که جهانگیریتاجزادهآخوندی وثبت نام کردن باید بگیم مردم راهی جز انتخاب رئیسی یا سعید محمد ندارنکل لیست اصلاحاتیه,"['حالا', 'که', 'جهانگیریتاجزادهآخوندی', 'وثبت', 'نام', 'کردن', 'باید', 'بگیم', 'مردم', 'راهی', 'جز', 'انتخاب', 'رئیسی', 'یا', 'سعید', 'محمد', 'ندارنکل', 'لیست', 'اصلاحاتیه']"
"@Vahidnaderi1373 این یعنی وحدت یعنی اتحاد 
یعنی دوباره انقلاب",این یعنی وحدت یعنی اتحاد یعنی دوباره انقلاب,این یعنی وحدت یعنی اتحاد یعنی دوباره انقلاب,"['این', 'یعنی', 'وحدت', 'یعنی', 'اتحاد', 'یعنی', 'دوباره', 'انقلاب']"
